series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,csn_n_used,symbol,qvol_24h,n_agg,n_fills_total,fills_per_order,diurnal_range
W1,33982,33982,0.0,1.934000015258789,2.5424057442124193,3.274152248379841,0.05616777017635212,3398,2.140450896911894,0.02032816820288971,11087,0.9475970440484803,,,,,,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
W5,13098,13098,0.0,5.9984999895095825,6.595992059848895,5.32944431200162,0.1472469408298883,1310,4.5544442279543595,0.073795503782128,3809,0.9759751325479534,,,,,,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
W30,2732,2732,0.0,31.025999903678894,31.621047950157482,18.017045165087538,1.0904411791248307,273,17.70740665553091,0.592887827381271,892,0.9955903467166077,,,,,,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,
deseas,107772,78265,0.27379096611364734,0.5115203123818841,0.8172529978181237,2.0105632903460746,0.01936728784807672,10777,1.0086214622937082,0.005428347620606922,34524,1.0143878340918913,2.9989716038690615,4.367916137734296,1000.0,0.0,20000.0,ETHUSDT,200616691.372441,107773,409630,3.800859213346571,1.8665216919935574
fill,530333,211838,0.6005566313995169,0.21300005912780762,0.16291376361658863,1.6364526758092655,0.007106084262409165,53033,1.7802332208949752,0.009568104597724102,34618,1.3788480595049437,2.0223463291707735,1.370050120353698,1000.0,0.63,20000.0,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
order,237525,211838,0.10814440585201558,0.21300005912780762,0.3637450584152249,1.8487556661018438,0.011995805783217286,23752,2.0125558614425514,0.020251509640328288,9876,1.4178540838341895,1.9159946093035576,1.0400002002716064,1622.0,0.47,20000.0,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
W0.1,148525,148525,0.0,0.3710000514984131,0.58171045278624,2.0077509688761896,0.01647469464858222,14852,2.0352018591995553,0.020661149254029957,9703,1.3100305197590594,,,,,,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
W1,54218,54218,0.0,1.3030002117156982,1.5935270205475967,2.4313013519633153,0.033018628881307605,5422,2.7355838056330937,0.020567717928406115,17690,1.2307562594057029,,,,,,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
W5,14947,14947,0.0,5.327000141143799,5.780289288834281,3.4882991753856736,0.09021798624148704,1495,5.776517625705523,0.08271603818581362,4877,1.1165617970471464,,,,,,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
W30,2784,2784,0.0,30.29550004005432,31.031475215550813,8.251928308341611,0.4949177709697011,278,16.641355060962518,0.5522627645286498,908,1.0396019302759985,,,,,,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,
deseas,237525,211838,0.10814440585201558,0.37579535198544617,0.5269866541516292,3.040074483705042,0.01972577758202868,23752,1.5397868653215212,0.005531184756283524,77497,1.0382725461050346,3.217471492829211,1.5737615347306622,1621.0,0.0,20000.0,XPLUSDT,177849162.989242,237526,530334,2.232740836792604,9.331252584264165
fill,563349,166059,0.7052289078351075,0.22100019454956055,0.1533658478136626,1.258698714830429,0.005303134468886935,56335,0.23794176926599575,0.0006219621227648292,146357,1.3008809346161936,1.8971593194237382,1.3929999807785298,1621.0,0.51,20000.0,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
order,175614,166059,0.05440910178004032,0.22100019454956055,0.49197955174404673,1.85143410259936,0.013971197678548616,17561,1.3507855493626337,0.006238545410334141,46882,1.2946952866606096,1.933543454887937,1.3973914253300606,1621.0,0.41,20000.0,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
W0.1,111136,111136,0.0,0.4570000171661377,0.7774123326373004,1.9764602938061384,0.018747911629826332,11114,1.9773474559292503,0.019873089671154948,9900,1.326899613304059,,,,,,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
W1,47600,47600,0.0,1.3670001029968262,1.8150883403345317,2.0997518435804587,0.030434382524144512,4760,2.3496121310392173,0.01997374553373823,13838,1.1816910401252017,,,,,,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
W5,14067,14067,0.0,5.430000066757202,6.141613634747721,2.7292845099195344,0.07276151977896646,1407,4.170366565005696,0.06211985753295891,4507,1.1218836096599565,,,,,,ALLOUSDT,103539171.85106,175615,563350,3.2078694872305897,
