market,bin_s,sym_i,sym_h,p_i,p_h,or_crude,or_mh,ci_lo,ci_hi
binance,1.0,ALLOUSDT,BICOUSDT,0.6799074074074074,0.25666666666666665,1.1161859783879187,1.043731085416359,0.9953458896107654,1.0974403108362782
binance,1.0,ALLOUSDT,BTCUSDT,0.6799074074074074,0.7259606481481482,1.2169190626941138,1.0257178811536722,0.983584230303943,1.0676855049890057
binance,1.0,ALLOUSDT,ETHUSDT,0.6799074074074074,0.48238425925925926,0.9422858774247187,0.9832257107979389,0.9361762331025558,1.0264329714310407
binance,1.0,ALLOUSDT,HEMIUSDT,0.6799074074074074,0.3515625,1.0116957358794887,1.026436655238099,0.9703465212399315,1.0798708410977182
binance,1.0,ALLOUSDT,LINKUSDT,0.6799074074074074,0.3200925925925926,1.1975799669038905,0.9686625432630345,0.9289533643277541,1.0139426842066621
binance,1.0,ALLOUSDT,PLUMEUSDT,0.6799074074074074,0.6462847222222222,1.6559917744660906,1.0209269206001472,0.9627273602101724,1.0865660185927601
binance,1.0,ALLOUSDT,SOLUSDT,0.6799074074074074,0.3526388888888889,1.0960280771151434,0.9941958241974331,0.9600429479662668,1.035193838094666
binance,1.0,ALLOUSDT,SPCXBUSDT,0.6799074074074074,0.12199074074074075,1.2885925606988995,1.0433217866966789,0.9564967562257171,1.1397714368314569
binance,1.0,ALLOUSDT,SYRUPUSDT,0.6799074074074074,0.038009259259259257,0.9703229764993754,0.9715508827205948,0.8785504208715524,1.0878204960247513
binance,1.0,ALLOUSDT,TRUMPUSDT,0.6799074074074074,0.03940972222222222,1.132885217833419,1.1112984731909694,1.0313769854730446,1.2087557229215675
binance,1.0,ALLOUSDT,XPLUSDT,0.6799074074074074,0.7874537037037037,2.9565350807534037,1.0466750652839538,0.9511090416516617,1.1527836980612953
binance,1.0,ALLOUSDT,XRPUSDT,0.6799074074074074,0.22747685185185185,1.0324218450863871,0.9954429522076811,0.9597457367228078,1.0294136439917756
binance,1.0,ALLOUSDT,XVSUSDT,0.6799074074074074,0.0328125,0.8365274091282612,1.0311399040094325,0.9238148191202379,1.1435249033916304
binance,1.0,BICOUSDT,BTCUSDT,0.25666666666666665,0.7259606481481482,1.0138677719487779,1.0333289975116644,1.0036007164273022,1.0667224884474489
binance,1.0,BICOUSDT,ETHUSDT,0.25666666666666665,0.48238425925925926,1.0133639693994392,1.0287315006295348,0.9869361659977597,1.0696146043580192
binance,1.0,BICOUSDT,HEMIUSDT,0.25666666666666665,0.3515625,0.808293179702229,1.0174486819746065,0.9681867814036527,1.0732229321731581
binance,1.0,BICOUSDT,LINKUSDT,0.25666666666666665,0.3200925925925926,1.253997076054307,1.077758587855187,1.0283021631580778,1.1269404165555252
binance,1.0,BICOUSDT,PLUMEUSDT,0.25666666666666665,0.6462847222222222,0.9931247885401884,0.9995567162214516,0.9432664552867427,1.0584343270374008
binance,1.0,BICOUSDT,SOLUSDT,0.25666666666666665,0.3526388888888889,1.0216922668959223,1.0233113329930585,0.9792652987778716,1.0686573268243078
