series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,symbol,n_ticks,tie_share,diurnal_range
deseas,768,768,0.0,7.978468316919566,11.115294607404584,3.4915180736458518,0.3978954123919259,77,2.0454933390245023,0.13041589196881948,246,1.0265103529840418,2.5955608221203827,16.52977395126196,182.0,0.0033333333333333335,CTG,811,0.05185185185185185,2.4562447866715176
print,896,843,0.05915178571428571,7.0,9.010044642857142,3.5991485943455377,0.37938357318417726,90,2.3086841017533675,0.16085364332617594,206,0.9184885931558935,2.3143147480565562,12.0,267.0,0.0,VND,897,0.05915178571428571,
second,843,843,0.0,7.0,9.576512455516013,3.359205354722502,0.3665193526884964,84,2.3466484133441186,0.16232106491185017,209,0.8825946010546917,2.3143147480565562,12.0,267.0,0.0,VND,897,0.05915178571428571,
W2,760,760,0.0,8.0,10.62236842105263,4.26441127697303,0.48916152131633356,76,2.603370142641878,0.2008543671004654,168,0.9608938547486033,,,,,VND,897,0.05915178571428571,
W5,605,605,0.0,11.0,13.343801652892562,3.6565139201783925,0.4720539172675503,60,2.8477984636573157,0.23982789469792898,141,0.9824038160242496,,,,,VND,897,0.05915178571428571,
W30,213,213,0.0,36.0,37.859154929577464,6.698590359421194,1.461752255788051,21,6.237861912688118,0.9403930662925074,44,1.027112315368602,,,,,VND,897,0.05915178571428571,
deseas,843,843,0.0,7.239982667622215,9.711961606013706,3.1157575784576683,0.33995702262891847,84,3.0110764586007797,0.2820131488713144,114,0.9594211316283497,2.808078330855582,16.740103739468193,147.0,0.006666666666666667,VND,897,0.05915178571428571,1.4283845690349288
print,955,885,0.07329842931937172,6.0,8.453403141361257,2.800147871654722,0.2857888954122662,96,1.7816243549879136,0.10763186348633247,274,1.211289207799545,2.1020639001876558,12.0,249.0,0.0,VCB,956,0.07329842931937172,
second,885,885,0.0,6.0,9.122033898305085,2.953495012179191,0.31484362617466294,88,1.7695863525893467,0.10500563129215988,284,1.1693061840120664,2.1020639001876558,12.0,249.0,0.0,VCB,956,0.07329842931937172,
W2,777,777,0.0,7.0,10.38996138996139,2.983222340434931,0.33778341438215626,78,2.2899813786236947,0.16881966701128284,184,1.1696735395189004,,,,,VCB,956,0.07329842931937172,
W5,596,596,0.0,11.0,13.545302013422818,3.8553543169234814,0.4977241021057838,60,2.368834619781266,0.17906706574232786,175,1.142515923566879,,,,,VCB,956,0.07329842931937172,
W30,210,210,0.0,36.5,38.38095238095238,5.446724049139359,1.1885726307008326,21,5.9654596728669045,1.148053249323188,27,1.0225846925972397,,,,,VCB,956,0.07329842931937172,
deseas,885,885,0.0,6.4170052938951505,9.302989329638486,3.289259925046634,0.3506362861498719,88,2.4156193448301093,0.18312762993470583,174,1.0256653631598123,3.1721735785701415,20.610696933304474,100.0,0.4766666666666667,VCB,956,0.07329842931937172,1.895373103019839
print,1293,1152,0.10904872389791183,4.0,6.241299303944316,2.2967714169703015,0.20221944756942892,129,1.6609952917237172,0.10463286835119373,252,1.4588758358426281,1.8133136372529328,10.0,250.0,0.0,VNM,1294,0.10904872389791183,
second,1152,1152,0.0,4.0,7.005208333333333,2.35802658346769,0.21988711270421005,115,1.6503331039362303,0.10416810184515737,251,1.3854566952409104,1.8133136372529328,10.0,250.0,0.0,VNM,1294,0.10904872389791183,
W2,956,956,0.0,6.0,8.44142259414226,2.5777472072109275,0.2630902226479646,96,1.7936233861413207,0.1274672635991684,198,1.314974182444062,,,,,VNM,1294,0.10904872389791183,
W5,670,670,0.0,9.0,12.038805970149253,4.078953165164425,0.4983234417435302,67,1.958058985323869,0.14844006859861178,174,1.1549559177130644,,,,,VNM,1294,0.10904872389791183,
W30,222,222,0.0,35.0,36.351351351351354,7.059339978918862,1.5050563405033013,22,6.443181758211185,1.0592525560742705,37,1.0139755428000998,,,,,VNM,1294,0.10904872389791183,
deseas,1152,1152,0.0,5.130003244151221,8.037376432415488,2.865355970381842,0.2671958219701158,115,1.661842354720733,0.08570297562958532,376,1.0711763711706845,1.6076348420930893,7.7195351891013315,415.0,0.0,VNM,1294,0.10904872389791183,3.9356399311712247
print,1458,1323,0.09259259259259259,4.0,5.537037037037037,2.3922048208328603,0.19798027964642478,146,1.910519973702061,0.11894377816434866,258,1.45529197080292,2.291681206111538,13.0,165.0,0.0,FPT,1459,0.09259259259259259,
second,1323,1323,0.0,4.0,6.1020408163265305,2.1628153174653257,0.1882489103647212,132,1.486706440909259,0.07152919698874259,432,1.314503558101208,2.291681206111538,13.0,165.0,0.0,FPT,1459,0.09259259259259259,
W2,1080,1080,0.0,5.0,7.475,2.8055366366044834,0.26996288872749263,108,2.016108683902175,0.14512267858940064,193,1.3013112884834666,,,,,FPT,1459,0.09259259259259259,
W5,744,744,0.0,8.0,10.850806451612904,3.2595432324061457,0.3789142041506106,74,2.24257503255427,0.17301842003223558,168,1.2400110987791344,,,,,FPT,1459,0.09259259259259259,
W30,224,224,0.0,34.0,35.99107142857143,9.423793935129291,2.0091596177572217,22,6.489033619933661,0.9673280188302132,45,1.0597853857945836,,,,,FPT,1459,0.09259259259259259,
deseas,1323,1323,0.0,4.137148780449371,6.5997921837106395,2.831691102718039,0.24646707477588073,132,1.7870059546266859,0.1013318111679145,311,0.9180760737690786,3.368082922115329,18.053399536681535,108.0,0.33,FPT,1459,0.09259259259259259,2.938832135805177
print,511,470,0.08023483365949119,12.0,15.821917808219178,3.162345974799196,0.4428170087317457,51,1.797783261369057,0.1453421623253338,153,1.5777278850471486,2.393989284899394,27.77413793103449,97.0,0.01,MWG,512,0.08023483365949119,
second,470,470,0.0,12.0,17.20212765957447,3.4302939555733145,0.5003597986649806,47,1.8227524733325136,0.14736080346874103,153,1.5234082397003743,2.393989284899394,27.77413793103449,97.0,0.016666666666666666,MWG,512,0.08023483365949119,
W2,438,438,0.0,13.5,18.458904109589042,3.474226948189919,0.5237594192585214,44,1.989055949114599,0.1737846251667196,131,1.3730554740240681,,,,,MWG,512,0.08023483365949119,
W5,372,372,0.0,17.0,21.733870967741936,3.3557028686009227,0.5516741532956742,37,2.327436674091748,0.23510660786179136,98,1.3014517506404784,,,,,MWG,512,0.08023483365949119,
W30,175,175,0.0,41.0,46.114285714285714,10.32203867733611,2.432927848138062,18,4.98039163715583,0.7424329503501269,45,1.1236767177488942,,,,,MWG,512,0.08023483365949119,
deseas,470,470,0.0,12.356592968132064,18.57588129785325,4.563158402834685,0.6656050616330275,47,2.0587359816204533,0.17038220214666636,146,0.9524144175365108,5.432689547632154,47.95248183704608,39.0,0.3233333333333333,MWG,512,0.08023483365949119,2.5023564763437056
print,1235,1110,0.10121457489878542,4.0,6.5489878542510125,2.375900250486767,0.21336214103708298,124,1.7491408628375646,0.10664700063139788,269,0.8867495551450171,2.0057064762628505,11.0,232.0,0.0,GEX,1236,0.10121457489878542,
second,1110,1110,0.0,4.0,7.286486486486487,2.4580205991025186,0.23330499053625034,111,1.7563987087414548,0.10748985535390042,267,0.9044031080762891,2.0057064762628505,11.0,232.0,0.0,GEX,1236,0.10121457489878542,
W2,941,941,0.0,6.0,8.595111583421891,2.3613009569569714,0.24354959758166408,94,1.7811563774523516,0.10249403214639591,302,0.9108316301678727,,,,,GEX,1236,0.10121457489878542,
W5,673,673,0.0,9.0,12.014858841010401,3.1988769280810967,0.3908050168678721,67,2.415420507296387,0.19787895810534942,149,0.891456296370452,,,,,GEX,1236,0.10121457489878542,
W30,219,219,0.0,34.0,36.81278538812786,6.611157517674498,1.4095035187079823,22,5.384807432181591,0.7070598555562871,58,0.9631804281345565,,,,,GEX,1236,0.10121457489878542,
deseas,1110,1110,0.0,5.03590253810708,7.841671132021089,2.6495049767220693,0.2514798833441791,111,2.118960331510112,0.13116035178117608,261,1.0189383349251169,1.9948572633012276,9.710719402936126,332.0,0.0,GEX,1236,0.10121457489878542,2.4378234106958647
print,534,510,0.0449438202247191,8.5,15.071161048689138,2.062159086873161,0.283259335124811,53,1.384083059498869,0.12233681463713424,128,1.1798483206933912,1.114259057756755,8.0,274.0,0.0,DIG,535,0.0449438202247191,
second,510,510,0.0,8.5,15.780392156862746,1.9843417628402116,0.277863425041018,51,1.384083059498869,0.12233681463713424,128,1.17454741961632,1.114259057756755,8.0,274.0,0.0,DIG,535,0.0449438202247191,
W2,467,467,0.0,10.0,17.23340471092077,2.022430643118511,0.295001828563563,47,1.3972723260209123,0.12650309246086847,122,1.184912047391646,,,,,DIG,535,0.0449438202247191,
W5,377,377,0.0,13.0,21.336870026525197,2.4399983383903368,0.3958199980103797,38,1.3843921364003986,0.12482643518646135,123,1.2643376666806003,,,,,DIG,535,0.0449438202247191,
W30,161,161,0.0,41.0,49.962732919254655,3.630973399944474,0.9077433499861185,16,3.3049052565429284,0.5586309478083791,35,1.1513018065887355,,,,,DIG,535,0.0449438202247191,
deseas,510,510,0.0,11.662367438442118,19.08424886836021,2.4573215029878654,0.3440938360687683,51,1.3524229546331736,0.10496837872158496,166,0.997450356880981,1.3129178455937014,12.771707185962926,247.0,0.0,DIG,535,0.0449438202247191,5.222753817393751
print,1119,986,0.11885612153708669,4.0,7.223413762287757,1.826432746963598,0.17258167267322289,112,1.4037384331601201,0.0909908479267671,238,0.26522090965912765,1.7817646949132593,15.0,151.0,0.023333333333333334,DXG,1120,0.11885612153708669,
second,986,986,0.0,4.0,8.197768762677486,1.97853388733947,0.1988501375547977,99,1.3844979429014557,0.0907014759640275,233,0.2852599777389092,1.7817646949132593,15.0,151.0,0.05,DXG,1120,0.11885612153708669,
W2,822,822,0.0,5.0,9.833333333333334,2.162150334157062,0.23876956100420374,82,1.3760064052146705,0.09540887787246874,208,0.3344890209674757,,,,,DXG,1120,0.11885612153708669,
W5,584,584,0.0,9.0,13.840753424657533,1.902371289789584,0.2497935880370198,58,1.6779454802177272,0.13306973238352612,159,0.4243171806167401,,,,,DXG,1120,0.11885612153708669,
W30,197,197,0.0,35.0,40.888324873096444,4.0550636781640605,0.9067398037465169,20,3.1794567837303944,0.4589150574908813,48,0.7727043052102524,,,,,DXG,1120,0.11885612153708669,
deseas,986,986,0.0,7.8665158397941095,12.152041664249401,2.9860688102655026,0.30011120732829155,99,2.0612753820429717,0.12498317828894955,272,1.0125575666040072,2.896524793684367,24.751806600504075,113.0,0.6333333333333333,DXG,1120,0.11885612153708669,7.072658102468192
print,371,352,0.05121293800539083,14.0,21.797843665768195,3.0515251163420722,0.5016676388634993,37,1.3998910776553946,0.13169067502144324,113,1.103729098748554,3.739835888883823,66.0,31.0,0.51,POW,372,0.05121293800539083,
second,352,352,0.0,14.0,22.974431818181817,3.2134747094501814,0.5431763646308608,35,1.4026262563860696,0.13194797899251376,113,1.0624840601887275,3.739835888883823,66.0,31.0,0.6166666666666667,POW,372,0.05121293800539083,
W2,335,335,0.0,15.0,24.140298507462685,3.477729675036273,0.5964257187768378,34,2.191010051102547,0.29278603365013556,56,1.0688462401898575,,,,,POW,372,0.05121293800539083,
W5,287,287,0.0,18.0,28.177700348432055,3.447231458976506,0.6401348115492143,29,2.2670777740200356,0.30295101069832464,56,1.0391256984221808,,,,,POW,372,0.05121293800539083,
