series,n,n_pos,zero_share,median_gap_s,mean_gap_s,hill_frac10,hill_frac10_se,hill_frac10_k,hill_plateau,hill_plateau_se,hill_plateau_k,rm_ratio,csn_alpha,csn_xmin,csn_n_tail,csn_p,symbol,n_ticks,tie_share,diurnal_range
print,434,418,0.03686635944700461,13.5,18.589861751152075,26.08925806859394,3.9785745564989465,43,2.366730416905201,0.22669166033442156,109,0.6478758169934641,1.0497467659821949,9.0,271.0,0.0,TCH,435,0.03686635944700461,
second,418,418,0.0,13.5,19.301435406698566,25.482531136766173,3.9320399199163347,42,2.089242164584087,0.18612448518751493,126,0.6435119168873498,1.0497467659821949,9.0,271.0,0.0,TCH,435,0.03686635944700461,
W2,395,395,0.0,14.0,20.4253164556962,24.269077273110643,3.8372780446828956,40,2.09993919871086,0.18782427187735687,125,0.7078419640616858,,,,,TCH,435,0.03686635944700461,
W5,343,343,0.0,17.0,23.52186588921283,94.21930712037849,16.15847786425242,34,2.464512500454053,0.23605748531909965,109,0.7660256901350904,,,,,TCH,435,0.03686635944700461,
W30,167,167,0.0,51.0,48.31137724550898,9.449898328956902,2.2919369977433606,17,5.403062981671287,0.9551356183794434,32,0.9100810019739977,,,,,TCH,435,0.03686635944700461,
deseas,418,418,0.0,15.859873866879987,21.39112555265694,4.704816974139219,0.7259690200681942,42,2.5272578173559435,0.21832182317174634,134,0.9795404510846737,4.43749756213163,46.20844137429731,34.0,0.9533333333333334,TCH,435,0.03686635944700461,2.51509697015553
print,222,210,0.05405405405405406,22.0,36.3018018018018,2.5837899399721618,0.5508658661144845,22,1.2959283567667497,0.1527266215002847,72,2.039984911354206,1.045638623784307,18.0,122.0,0.0,HHV,223,0.05405405405405406,
second,210,210,0.0,22.0,38.37619047619047,2.535675242389693,0.5533297017179174,21,1.6387909424733103,0.22725941434051836,52,2.0104594695554727,1.045638623784307,18.0,122.0,0.0,HHV,223,0.05405405405405406,
W2,203,203,0.0,23.0,39.69950738916256,2.41280996955851,0.5395207108722027,20,1.6384358924587081,0.22721017776232597,52,1.9093214199468729,,,,,HHV,223,0.05405405405405406,
W5,185,185,0.0,26.0,43.56216216216216,2.27275280839873,0.5356929742598374,18,2.098206300229519,0.37091397580515745,32,1.8050992650926523,,,,,HHV,223,0.05405405405405406,
