market,bin_s,n_assets,n_pairs,mean_activity,or_crude_median,or_mh_median,or_mh_q25,or_mh_q75,frac_above_one,frac_sig_above_one
binance,1.0,14,91,0.3616178902116402,1.0839320528292753,1.034286352958243,1.0090507514327616,1.0881579080211679,0.8021978021978022,0.31868131868131866
binance,5.0,19,171,0.45060307017543855,1.0550904320447787,1.0357431145264924,0.9390669108742199,1.115173955999118,0.5964912280701754,0.13450292397660818
binance,30.0,11,55,0.4361742424242424,1.012966804979253,1.0141654416677803,0.8983889628280266,1.146646763320879,0.5454545454545454,0.10909090909090909
hose,5.0,30,435,0.36808817470127725,1.1631531090438554,1.1334824916164894,1.0045314338422693,1.2783075708971805,0.7586206896551724,0.271264367816092
hose,15.0,30,435,0.6567901234567901,1.1466794075489728,1.1179104477611936,0.8754426112047634,1.4124877799220954,0.6275862068965518,0.1471264367816092
hose,60.0,12,65,0.825925925925926,1.0340909090909092,0.8333333333333334,0.29629629629629634,1.2857142857142856,0.4,0.015384615384615385
